id	source_fen	first_move	fen	expected_move	allowed_moves	themes	rating	popularity	source_url	note
001cr	8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38	c5c4	8/3B2pp/p5k1/6P1/1ppp1K2/8/1P6/8 w - - 0 39	d7e8	d7e8	bishopEndgame endgame mate mateIn1 oneMove	1720	94	https://lichess.org/7FFNwibw/black#76	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-one.
001pC	r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18	f1g1	r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q2RK b - - 0 18	h3f2	h3f2	mate mateIn1 middlegame oneMove smotheredMate	870	91	https://lichess.org/d04UP3XD#35	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-one.
001wb	r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17	h2g3	r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1PP1/PP4P1/R1B2R1K b kq - 0 17	g6h5	g6h5	mate mateIn1 middlegame oneMove	1106	95	https://lichess.org/hNzYRMWP#33	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-one.
002HE	1qr2rk1/1p1p1ppp/pB2p1n1/7n/2P1P3/1Q2NP1P/PP2B1Pb/3R1RK1 w - - 1 20	g1f2	1qr2rk1/1p1p1ppp/pB2p1n1/7n/2P1P3/1Q2NP1P/PP2BKPb/3R1R2 b - - 2 20	b8g3	b8g3	master mate mateIn1 middlegame oneMove	1116	94	https://lichess.org/U21EXYdv#39	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-one.
002Q2	7k/p4R1p/3p3r/2pN1n2/2PbBBb1/3P2P1/P3r3/5R1K w - - 1 28	f4h6	7k/p4R1p/3p3B/2pN1n2/2PbB1b1/3P2P1/P3r3/5R1K b - - 0 28	f5g3	f5g3	cornerMate mate mateIn1 middlegame oneMove	954	100	https://lichess.org/yqAJ1jMv#55	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-one.
000Zo	4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35	e5f6	4r3/1k6/pp3P2/1b5p/3R1p2/P1R2P2/1P4PP/6K1 b - - 0 35	e8e1	e8e1	endgame mate mateIn2 operaMate short	1364	86	https://lichess.org/n8Ff742v#69	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
000hf	r1bqk2r/pp1nbNp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 b kq - 0 19	e8f7	r1bq3r/pp1nbkp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 w - - 0 20	e2e6	e2e6	mate mateIn2 middlegame short	1582	92	https://lichess.org/71ygsFeE/black#38	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
001Wz	4r1k1/5ppp/r1p5/p1n1RP2/8/2P2N1P/2P3P1/3R2K1 b - - 0 21	e8e5	6k1/5ppp/r1p5/p1n1rP2/8/2P2N1P/2P3P1/3R2K1 w - - 0 22	d1d8	d1d8	backRankMate endgame mate mateIn2 short	1118	89	https://lichess.org/84RH3LaP/black#42	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
001om	5r1k/pp4pp/5p2/1BbQp1r1/6K1/7P/1PP3P1/3R3R w - - 2 26	g4h4	5r1k/pp4pp/5p2/1BbQp1r1/7K/7P/1PP3P1/3R3R b - - 3 26	c5f2	c5f2	mate mateIn2 middlegame morphysMate short	1018	89	https://lichess.org/VWOIWtIh#51	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
001w5	1rb2rk1/q5P1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 b - - 0 29	f8f7	1rb3k1/q4rP1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 w - - 1 30	c2h7	c2h7	advancedPawn attraction mate mateIn2 middlegame promotion short	1034	85	https://lichess.org/0e1vxAEn/black#58	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
002Mm	rn1qr1k1/ppp3pQ/3p1pP1/3Pp3/2P1P3/8/PP3PP1/R1B1K3 b Q - 2 16	g8f8	rn1qrk2/ppp3pQ/3p1pP1/3Pp3/2P1P3/8/PP3PP1/R1B1K3 w Q - 3 17	h7h8	h7h8	deflection mate mateIn2 middlegame short	939	97	https://lichess.org/wAkPv4uG/black#32	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
002p5	r1bqr1k1/pp1nbpp1/2p2n2/6P1/2BP4/P7/1PQNNPP1/R3K2R b KQ - 0 13	f6d5	r1bqr1k1/pp1nbpp1/2p5/3n2P1/2BP4/P7/1PQNNPP1/R3K2R w KQ - 1 14	c2h7	c2h7	kingsideAttack mate mateIn2 middlegame short	908	84	https://lichess.org/meSoQkhU/black#26	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
003Tx	2r5/pR5p/5p1k/4p3/4r3/B4nPP/PP3P2/1K2R3 w - - 0 27	e1e4	2r5/pR5p/5p1k/4p3/4R3/B4nPP/PP3P2/1K6 b - - 0 27	f3d2	f3d2	backRankMate endgame fork mate mateIn2 short	1516	83	https://lichess.org/A7j9VEC0#53	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
000Pw	6k1/5p1p/4p3/4q3/3nN3/2Q3P1/PP3P1P/6K1 w - - 2 37	e4d2	6k1/5p1p/4p3/4q3/3n4/2Q3P1/PP1N1P1P/6K1 b - - 3 37	d4e2	d4e2	crushing endgame fork short	1550	92	https://lichess.org/au2lCK5o#73	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for fork tactic.
000rO	3R4/8/K7/pB2b3/1p6/1P2k3/3p4/8 w - - 4 58	a6a5	3R4/8/8/KB2b3/1p6/1P2k3/3p4/8 b - - 0 58	e5c7	e5c7	crushing endgame fork master short	1110	85	https://lichess.org/tzeeBEc2#115	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for fork tactic.
002Tf	r3kbnr/ppp1qppp/2n5/3pP3/5B2/4PQ2/PPP2PPP/RN2KB1R w KQkq - 1 7	f1b5	r3kbnr/ppp1qppp/2n5/1B1pP3/5B2/4PQ2/PPP2PPP/RN2K2R b KQkq - 2 7	e7b4	e7b4	advantage fork opening short	1564	84	https://lichess.org/Zq56PwHK#13	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for fork tactic.
003jH	rn3rk1/p5pp/3N4/4np1q/5Q2/1P3K2/PB1P2P1/2R4R w - - 0 25	f3f2	rn3rk1/p5pp/3N4/4np1q/5Q2/1P6/PB1P1KP1/2R4R b - - 1 25	e5d3	e5d3	crushing fork long middlegame	1065	89	https://lichess.org/3CQGofXT#49	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for fork tactic.
00008	r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2R1/PqP2bPP/7K b - - 0 24	f2g3	r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2b1/PqP3PP/7K w - - 0 25	e6e7	e6e7	crushing hangingPiece long middlegame	1862	95	https://lichess.org/787zsVup/black#48	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for hanging-piece tactic.
000lC	3r3r/pQNk1ppp/1qnb1n2/1B6/8/8/PPP3PP/3R1R1K w - - 5 19	d1d6	3r3r/pQNk1ppp/1qnR1n2/1B6/8/8/PPP3PP/5R1K b - - 0 19	d7d6	d7d6	advantage hangingPiece middlegame short	1374	94	https://lichess.org/vaqz2bx6#37	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for hanging-piece tactic.
002bK	8/7p/2b1k3/p2p1pPB/1n1P3P/N1p1P3/4K3/8 b - - 1 42	c6b5	8/7p/4k3/pb1p1pPB/1n1P3P/N1p1P3/4K3/8 w - - 2 43	a3b5	a3b5	advantage endgame hangingPiece short	1129	93	https://lichess.org/IFGj8W5s/black#84	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for hanging-piece tactic.
005N7	r6k/2q3pp/8/2p1n3/R1Qp4/7P/2PB1PP1/6K1 b - - 0 32	e5c4	r6k/2q3pp/8/2p5/R1np4/7P/2PB1PP1/6K1 w - - 0 33	a4a8	a4a8	backRankMate endgame hangingPiece mate mateIn2 short	651	95	https://lichess.org/jxZhmGhg/black#64	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
005wJ	r3kb1r/ppqn1ppp/4pn2/1Q2Nb2/3P4/8/PP2PPPP/RNB1KB1R w KQkq - 4 9	e5d7	r3kb1r/ppqN1ppp/4pn2/1Q3b2/3P4/8/PP2PPPP/RNB1KB1R b KQkq - 0 9	c7c1	c7c1	hangingPiece mate mateIn1 oneMove opening	1371	80	https://lichess.org/2mU9GJhQ#17	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-one.
0008Q	8/4R3/1p2P3/p4r2/P6p/1P3Pk1/4K3/8 w - - 1 64	e7f7	8/5R2/1p2P3/p4r2/P6p/1P3Pk1/4K3/8 b - - 2 64	f5e5	f5e5	advantage endgame rookEndgame short	1385	92	https://lichess.org/MQSyb3KW#127	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for endgame tactic.
000Sa	2Q2bk1/5p1p/p5p1/2p3P1/2r1B3/7P/qPQ2P2/2K4R b - - 0 32	c4c2	2Q2bk1/5p1p/p5p1/2p3P1/4B3/7P/qPr2P2/2K4R w - - 0 33	e4c2	e4c2	advantage endgame short	1558	97	https://lichess.org/lTTa9lwd/black#64	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for endgame tactic.
000o3	8/2p1k3/6p1/1p1P1p2/1P3P2/3K2Pp/7P/8 b - - 1 43	e7d6	8/2p5/3k2p1/1p1P1p2/1P3P2/3K2Pp/7P/8 w - - 2 44	d3d4	d3d4	crushing endgame pawnEndgame short zugzwang	944	87	https://lichess.org/BAY91mF3/black#86	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for endgame tactic.
00GuD	1n5k/4r1p1/p2q1rPp/1ppB4/8/3P4/PPP1RPQ1/2K4R b - - 4 25	e7e2	1n5k/6p1/p2q1rPp/1ppB4/8/3P4/PPP1rPQ1/2K4R w - - 0 26	h1h6	h1h6	advancedPawn kingsideAttack long mate mateIn3 middlegame promotion sacrifice	1165	88	https://lichess.org/zcHeWRaO/black#50	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for promotion tactic.
00LRq	1k6/1p1q4/P2p3p/1NpPpn1Q/5b2/2P3r1/1P2B1P1/R6K b - - 3 28	g3g7	1k6/1p1q2r1/P2p3p/1NpPpn1Q/5b2/2P5/1P2B1P1/R6K w - - 4 29	a6a7	a6a7	advancedPawn discoveredCheck doubleCheck mate mateIn4 middlegame promotion queensideAttack sacrifice veryLong	2218	92	https://lichess.org/i9yxFCW9/black#56	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for promotion tactic.
00PgQ	3r4/P1R5/7P/4p3/8/4p3/2p1K3/1k6 w - - 1 55	e2e3	3r4/P1R5/7P/4p3/8/4K3/2p5/1k6 b - - 0 55	c2c1q	c2c1q	advancedPawn crushing defensiveMove endgame long master promotion	2208	87	https://lichess.org/6ByRjehu#109	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for promotion tactic.
00XoP	6r1/p6k/1p4rp/3q1Q2/8/P7/4Rp1P/5R1K w - - 0 37	f5d5	6r1/p6k/1p4rp/3Q4/8/P7/4Rp1P/5R1K b - - 0 37	g6g1	g6g1	advancedPawn endgame mate mateIn2 promotion queenRookEndgame short	683	76	https://lichess.org/KLJMqvTZ#73	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
00oYS	4K3/4P1k1/8/8/8/8/2p1R3/2r5 w - - 10 59	e8d7	8/3KP1k1/8/8/8/8/2p1R3/2r5 b - - 11 59	c1d1	c1d1	advancedPawn clearance crushing endgame master promotion rookEndgame short	1021	98	https://lichess.org/poyLvn1d#117	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for promotion tactic.
00ueI	8/5p1k/pp3B2/3bPq2/6R1/2R4P/1P1p2PK/8 w - - 0 47	c3g3	8/5p1k/pp3B2/3bPq2/6R1/6RP/1P1p2PK/8 b - - 1 47	f5g4	f5g4	advancedPawn advantage endgame long promotion	1696	92	https://lichess.org/JdgRx0r2#93	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for promotion tactic.
00wL8	R4rk1/2PR1ppp/8/8/7P/8/P3pqPK/8 b - - 0 33	f8a8	r5k1/2PR1ppp/8/8/7P/8/P3pqPK/8 w - - 0 34	d7d8	d7d8	advancedPawn backRankMate endgame mate mateIn2 promotion queenRookEndgame short	856	94	https://lichess.org/JRlzUS96/black#66	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
012tD	1Q6/5ppk/7p/2pr4/4p3/4P3/2p2PPP/R5K1 w - - 1 36	b8b2	8/5ppk/7p/2pr4/4p3/4P3/1Qp2PPP/R5K1 b - - 2 36	d5d1	d5d1	advancedPawn backRankMate endgame mate mateIn2 promotion queenRookEndgame short	803	97	https://lichess.org/j9DjK4AK#71	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
0135i	8/6Rr/7P/3p4/2pk1p2/3b3R/6PK/8 w - - 6 57	h3d3	8/6Rr/7P/3p4/2pk1p2/3R4/6PK/8 b - - 0 57	c4d3	c4d3	advancedPawn advantage endgame long master masterVsMaster promotion rookEndgame	1476	92	https://lichess.org/bsAwZfBu#113	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for promotion tactic.
017qg	8/5R1P/3k2p1/4p3/4P1P1/8/p4p1K/r7 w - - 0 46	h7h8q	7Q/5R2/3k2p1/4p3/4P1P1/8/p4p1K/r7 b - - 0 46	a1h1	a1h1	advancedPawn attraction crushing endgame exposedKing long promotion queenRookEndgame	1886	94	https://lichess.org/n2AOBjIy#91	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for promotion tactic.
018Iz	8/3P4/8/1kP2pbP/8/5K2/8/8 b - - 0 51	b5c5	8/3P4/8/2k2pbP/8/5K2/8/8 w - - 0 52	h5h6	h5h6	advancedPawn bishopEndgame crushing endgame long promotion	1438	100	https://lichess.org/51AxZaDj/black#102	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for promotion tactic.
